country,country_code,region,income_group,year,life_expectancy
Papua New Guinea,PNG,East Asia & Pacific,Lower middle income,2000,58.79929268
Poland,POL,Europe & Central Asia,High income,2000,73.74878049
Portugal,PRT,Europe & Central Asia,High income,2000,76.31463415
Paraguay,PRY,Latin America & Caribbean,Upper middle income,2000,70.07468293
Qatar,QAT,Middle East & North Africa,High income,2000,76.4955122
Romania,ROU,Europe & Central Asia,Upper middle income,2000,71.16341463
Russian Federation,RUS,Europe & Central Asia,Upper middle income,2000,65.48365854
Rwanda,RWA,Sub-Saharan Africa,Low income,2000,48.19236585
Saudi Arabia,SAU,Middle East & North Africa,High income,2000,72.52621951
Sudan,SDN,Sub-Saharan Africa,Lower middle income,2000,57.97497561
Senegal,SEN,Sub-Saharan Africa,Low income,2000,57.76580488
Singapore,SGP,East Asia & Pacific,High income,2000,77.95121951
Solomon Islands,SLB,East Asia & Pacific,Lower middle income,2000,62.83673171
Sierra Leone,SLE,Sub-Saharan Africa,Low income,2000,38.69014634
El Salvador,SLV,Latin America & Caribbean,Lower middle income,2000,68.71704878
San Marino,SMR,Europe & Central Asia,High income,2000,80.6195122
Somalia,SOM,Sub-Saharan Africa,Low income,2000,50.87826829
Serbia,SRB,Europe & Central Asia,Upper middle income,2000,71.58292683
South Sudan,SSD,Sub-Saharan Africa,Low income,2000,49.21907317
Sao Tome and Principe,STP,Sub-Saharan Africa,Lower middle income,2000,63.29253659
Suriname,SUR,Latin America & Caribbean,Upper middle income,2000,67.92917073
Slovenia,SVN,Europe & Central Asia,High income,2000,75.41219512
Sweden,SWE,Europe & Central Asia,High income,2000,79.64390244
Swaziland,SWZ,Sub-Saharan Africa,Lower middle income,2000,48.66407317
Seychelles,SYC,Sub-Saharan Africa,High income,2000,
Syrian Arab Republic,SYR,Middle East & North Africa,Lower middle income,2000,72.72168293
Chad,TCD,Sub-Saharan Africa,Low income,2000,47.57807317
Togo,TGO,Sub-Saharan Africa,Low income,2000,53.46868293
Thailand,THA,East Asia & Pacific,Upper middle income,2000,70.63407317
Tajikistan,TJK,Europe & Central Asia,Lower middle income,2000,63.69529268
Turkmenistan,TKM,Europe & Central Asia,Upper middle income,2000,63.89929268
Timor-Leste,TLS,East Asia & Pacific,Lower middle income,2000,59.34697561
Tonga,TON,East Asia & Pacific,Upper middle income,2000,70.76043902
Trinidad and Tobago,TTO,Latin America & Caribbean,High income,2000,68.59643902
Tunisia,TUN,Middle East & North Africa,Lower middle income,2000,73.25536585
Turkey,TUR,Europe & Central Asia,Upper middle income,2000,69.99934146
Tuvalu,TUV,East Asia & Pacific,Upper middle income,2000,
Uganda,UGA,Sub-Saharan Africa,Low income,2000,46.41997561
Ukraine,UKR,Europe & Central Asia,Lower middle income,2000,67.8595122
United States,USA,North America,High income,2000,76.63658537
Uzbekistan,UZB,Europe & Central Asia,Lower middle income,2000,66.94078049
"Venezuela, RB",VEN,Latin America & Caribbean,Upper middle income,2000,72.34612195
Vietnam,VNM,East Asia & Pacific,Lower middle income,2000,73.14858537
Vanuatu,VUT,East Asia & Pacific,Lower middle income,2000,67.555
Samoa,WSM,East Asia & Pacific,Upper middle income,2000,69.48731707
"Yemen, Rep.",YEM,Middle East & North Africa,Lower middle income,2000,60.45636585
South Africa,ZAF,Sub-Saharan Africa,Upper middle income,2000,55.83687805
Zambia,ZMB,Sub-Saharan Africa,Lower middle income,2000,43.45668293
Zimbabwe,ZWE,Sub-Saharan Africa,Low income,2000,41.68943902
Afghanistan,AFG,South Asia,Low income,2001,55.48753659
Angola,AGO,Sub-Saharan Africa,Lower middle income,2001,45.97314634
Albania,ALB,Europe & Central Asia,Upper middle income,2001,74.73256098
United Arab Emirates,ARE,Middle East & North Africa,High income,2001,74.71287805
Argentina,ARG,Latin America & Caribbean,Upper middle income,2001,73.96031707
Armenia,ARM,Europe & Central Asia,Lower middle income,2001,71.75582927
Antigua and Barbuda,ATG,Latin America & Caribbean,High income,2001,73.60709756
Australia,AUS,East Asia & Pacific,High income,2001,79.63414634
Austria,AUT,Europe & Central Asia,High income,2001,78.57560976
Azerbaijan,AZE,Europe & Central Asia,Upper middle income,2001,67.15029268
Burundi,BDI,Sub-Saharan Africa,Low income,2001,51.72482927
Belgium,BEL,Europe & Central Asia,High income,2001,77.97317073
Benin,BEN,Sub-Saharan Africa,Low income,2001,55.46648781
Burkina Faso,BFA,Sub-Saharan Africa,Low income,2001,50.78321951
Bangladesh,BGD,South Asia,Lower middle income,2001,65.93017073
Bulgaria,BGR,Europe & Central Asia,Upper middle income,2001,71.76829268
Bahrain,BHR,Middle East & North Africa,High income,2001,74.78182927
"Bahamas, The",BHS,Latin America & Caribbean,High income,2001,72.54509756
Bosnia and Herzegovina,BIH,Europe & Central Asia,Upper middle income,2001,74.50092683
Belarus,BLR,Europe & Central Asia,Upper middle income,2001,68.50731707
Belize,BLZ,Latin America & Caribbean,Upper middle income,2001,68.44412195
Bolivia,BOL,Latin America & Caribbean,Lower middle income,2001,61.25919512
Brazil,BRA,Latin America & Caribbean,Upper middle income,2001,70.45960976
Barbados,BRB,Latin America & Caribbean,High income,2001,73.38392683
Brunei Darussalam,BRN,East Asia & Pacific,High income,2001,75.4832439
Bhutan,BTN,South Asia,Lower middle income,2001,61.54663415
Botswana,BWA,Sub-Saharan Africa,Upper middle income,2001,48.61031707
Central African Republic,CAF,Sub-Saharan Africa,Low income,2001,44.36207317
Canada,CAN,North America,High income,2001,79.48780488
Switzerland,CHE,Europe & Central Asia,High income,2001,80.18048781
Chile,CHL,Latin America & Caribbean,High income,2001,77.19870732
China,CHN,East Asia & Pacific,Upper middle income,2001,72.17578049
Cameroon,CMR,Sub-Saharan Africa,Lower middle income,2001,51.75719512
"Congo, Dem. Rep.",COD,Sub-Saharan Africa,Low income,2001,50.62934146
"Congo, Rep.",COG,Sub-Saharan Africa,Lower middle income,2001,50.77319512
Colombia,COL,Latin America & Caribbean,Upper middle income,2001,71.26039024
Comoros,COM,Sub-Saharan Africa,Low income,2001,59.51014634
Cabo Verde,CPV,Sub-Saharan Africa,Lower middle income,2001,70.08602439
Costa Rica,CRI,Latin America & Caribbean,Upper middle income,2001,77.57087805
Cuba,CUB,Latin America & Caribbean,Upper middle income,2001,76.86521951
Cyprus,CYP,Europe & Central Asia,High income,2001,78.10056098
Czech Republic,CZE,Europe & Central Asia,High income,2001,75.17317073
Germany,DEU,Europe & Central Asia,High income,2001,78.32926829
Djibouti,DJI,Middle East & North Africa,Lower middle income,2001,57.0882439
Dominica,DMA,Latin America & Caribbean,Upper middle income,2001,
Denmark,DNK,Europe & Central Asia,High income,2001,76.79268293
Dominican Republic,DOM,Latin America & Caribbean,Upper middle income,2001,70.83892683
Algeria,DZA,Middle East & North Africa,Upper middle income,2001,70.6017561
Ecuador,ECU,Latin America & Caribbean,Upper middle income,2001,73.23043902
"Egypt, Arab Rep.",EGY,Middle East & North Africa,Lower middle income,2001,68.78643902
Eritrea,ERI,Sub-Saharan Africa,Low income,2001,56.58278049
Spain,ESP,Europe & Central Asia,High income,2001,79.36829268
Estonia,EST,Europe & Central Asia,High income,2001,70.25853659
Ethiopia,ETH,Sub-Saharan Africa,Low income,2001,52.58692683
Finland,FIN,Europe & Central Asia,High income,2001,77.96585366
Fiji,FJI,East Asia & Pacific,Upper middle income,2001,67.788
France,FRA,Europe & Central Asia,High income,2001,79.15853659
"Micronesia, Fed. Sts.",FSM,East Asia & Pacific,Lower middle income,2001,67.38426829
Gabon,GAB,Sub-Saharan Africa,Upper middle income,2001,59.11670732
United Kingdom,GBR,Europe & Central Asia,High income,2001,77.99268293
Georgia,GEO,Europe & Central Asia,Lower middle income,2001,71.91826829
Ghana,GHA,Sub-Saharan Africa,Lower middle income,2001,57.14760976
Guinea,GIN,Sub-Saharan Africa,Low income,2001,51.24619512
"Gambia, The",GMB,Sub-Saharan Africa,Low income,2001,56.07341463
Guinea-Bissau,GNB,Sub-Saharan Africa,Low income,2001,51.60185366
Equatorial Guinea,GNQ,Sub-Saharan Africa,Upper middle income,2001,52.39680488
Greece,GRC,Europe & Central Asia,High income,2001,78.38780488
Grenada,GRD,Latin America & Caribbean,Upper middle income,2001,70.46792683
Guatemala,GTM,Latin America & Caribbean,Lower middle income,2001,68.22748781
Guyana,GUY,Latin America & Caribbean,Upper middle income,2001,65.1077561
Honduras,HND,Latin America & Caribbean,Lower middle income,2001,70.71212195
Croatia,HRV,Europe & Central Asia,Upper middle income,2001,74.51292683
Haiti,HTI,Latin America & Caribbean,Low income,2001,57.92978049
Hungary,HUN,Europe & Central Asia,High income,2001,72.24878049
Indonesia,IDN,East Asia & Pacific,Lower middle income,2001,66.43012195
India,IND,South Asia,Lower middle income,2001,63.01985366
Ireland,IRL,Europe & Central Asia,High income,2001,77.13414634
"Iran, Islamic Rep.",IRN,Middle East & North Africa,Upper middle income,2001,70.52165854
Iraq,IRQ,Middle East & North Africa,Upper middle income,2001,69.09
Iceland,ISL,Europe & Central Asia,High income,2001,80.6902439
Israel,ISR,Middle East & North Africa,High income,2001,79.40731707
Italy,ITA,Europe & Central Asia,High income,2001,80.12682927
Jamaica,JAM,Latin America & Caribbean,Upper middle income,2001,72.47695122
Jordan,JOR,Middle East & North Africa,Lower middle income,2001,71.95636585
Japan,JPN,East Asia & Pacific,High income,2001,81.41707317
Kazakhstan,KAZ,Europe & Central Asia,Upper middle income,2001,65.76829268
Kenya,KEN,Sub-Saharan Africa,Lower middle income,2001,50.82414634
Kyrgyz Republic,KGZ,Europe & Central Asia,Lower middle income,2001,68.70731707
Cambodia,KHM,East Asia & Pacific,Lower middle income,2001,59.24726829
Kiribati,KIR,East Asia & Pacific,Lower middle income,2001,64.17209756
Kuwait,KWT,Middle East & North Africa,High income,2001,73.38568293
Lao PDR,LAO,East Asia & Pacific,Lower middle income,2001,59.44829268
Lebanon,LBN,Middle East & North Africa,Upper middle income,2001,74.92214634
Liberia,LBR,Sub-Saharan Africa,Low income,2001,52.53346342
Libya,LBY,Middle East & North Africa,Upper middle income,2001,70.71678049
Sri Lanka,LKA,South Asia,Lower middle income,2001,71.87782927
Lesotho,LSO,Sub-Saharan Africa,Lower middle income,2001,45.67168293
Lithuania,LTU,Europe & Central Asia,High income,2001,71.65853659
Luxembourg,LUX,Europe & Central Asia,High income,2001,77.82439024
Latvia,LVA,Europe & Central Asia,High income,2001,70.76097561
Morocco,MAR,Middle East & North Africa,Lower middle income,2001,68.872
Monaco,MCO,Europe & Central Asia,High income,2001,
Madagascar,MDG,Sub-Saharan Africa,Low income,2001,59.11360976
Maldives,MDV,South Asia,Upper middle income,2001,71.00558537
Mexico,MEX,Latin America & Caribbean,Upper middle income,2001,74.53348781
Marshall Islands,MHL,East Asia & Pacific,Upper middle income,2001,
Mali,MLI,Sub-Saharan Africa,Low income,2001,49.4352439
Malta,MLT,Middle East & North Africa,High income,2001,78.84390244
Myanmar,MMR,East Asia & Pacific,Lower middle income,2001,62.39895122
Montenegro,MNE,Europe & Central Asia,Upper middle income,2001,73.18792683
Mongolia,MNG,East Asia & Pacific,Lower middle income,2001,63.37636585
Mozambique,MOZ,Sub-Saharan Africa,Low income,2001,49.07021951
Mauritania,MRT,Sub-Saharan Africa,Lower middle income,2001,60.10507317
Malawi,MWI,Sub-Saharan Africa,Low income,2001,44.45865854
Malaysia,MYS,East Asia & Pacific,Upper middle income,2001,73.04331707
Namibia,NAM,Sub-Saharan Africa,Upper middle income,2001,54.40468293
Niger,NER,Sub-Saharan Africa,Low income,2001,51.37202439
Nigeria,NGA,Sub-Saharan Africa,Lower middle income,2001,46.88117073
Nicaragua,NIC,Latin America & Caribbean,Lower middle income,2001,70.12741463
Netherlands,NLD,Europe & Central Asia,High income,2001,78.1902439
Norway,NOR,Europe & Central Asia,High income,2001,78.78536585
Nepal,NPL,South Asia,Low income,2001,63.02219512
Nauru,NRU,East Asia & Pacific,Upper middle income,2001,
New Zealand,NZL,East Asia & Pacific,High income,2001,78.69268293
Oman,OMN,Middle East & North Africa,High income,2001,72.79021951
Pakistan,PAK,South Asia,Lower middle income,2001,63.01370732
Panama,PAN,Latin America & Caribbean,Upper middle income,2001,75.28529268
Peru,PER,Latin America & Caribbean,Upper middle income,2001,70.95987805
Philippines,PHL,East Asia & Pacific,Lower middle income,2001,66.80239024
Palau,PLW,East Asia & Pacific,High income,2001,
Papua New Guinea,PNG,East Asia & Pacific,Lower middle income,2001,59.1387561
Poland,POL,Europe & Central Asia,High income,2001,74.2
Portugal,PRT,Europe & Central Asia,High income,2001,76.81463415
Paraguay,PRY,Latin America & Caribbean,Upper middle income,2001,70.33985366
Qatar,QAT,Middle East & North Africa,High income,2001,76.60743902
Romania,ROU,Europe & Central Asia,Upper middle income,2001,71.16097561
Russian Federation,RUS,Europe & Central Asia,Upper middle income,2001,65.38341463
Rwanda,RWA,Sub-Saharan Africa,Low income,2001,49.50768293
Saudi Arabia,SAU,Middle East & North Africa,High income,2001,72.71663415
Sudan,SDN,Sub-Saharan Africa,Lower middle income,2001,58.31663415
Senegal,SEN,Sub-Saharan Africa,Low income,2001,58.13556098
Singapore,SGP,East Asia & Pacific,High income,2001,78.25121951
Solomon Islands,SLB,East Asia & Pacific,Lower middle income,2001,63.46560976
Sierra Leone,SLE,Sub-Saharan Africa,Low income,2001,39.64548781
El Salvador,SLV,Latin America & Caribbean,Lower middle income,2001,69.00570732
San Marino,SMR,Europe & Central Asia,High income,2001,80.97317073
Somalia,SOM,Sub-Saharan Africa,Low income,2001,51.22280488
Serbia,SRB,Europe & Central Asia,Upper middle income,2001,72.23414634
South Sudan,SSD,Sub-Saharan Africa,Low income,2001,49.61190244
Sao Tome and Principe,STP,Sub-Saharan Africa,Lower middle income,2001,63.47797561
Suriname,SUR,Latin America & Caribbean,Upper middle income,2001,68.01197561
Slovenia,SVN,Europe & Central Asia,High income,2001,75.75853659
Sweden,SWE,Europe & Central Asia,High income,2001,79.79512195
Swaziland,SWZ,Sub-Saharan Africa,Lower middle income,2001,47.43409756
Seychelles,SYC,Sub-Saharan Africa,High income,2001,
Syrian Arab Republic,SYR,Middle East & North Africa,Lower middle income,2001,73.01748781
Chad,TCD,Sub-Saharan Africa,Low income,2001,47.58712195
Togo,TGO,Sub-Saharan Africa,Low income,2001,53.52658537
Thailand,THA,East Asia & Pacific,Upper middle income,2001,70.84904878
Tajikistan,TJK,Europe & Central Asia,Lower middle income,2001,64.07482927
Turkmenistan,TKM,Europe & Central Asia,Upper middle income,2001,64.02609756
Timor-Leste,TLS,East Asia & Pacific,Lower middle income,2001,60.29058537
Tonga,TON,East Asia & Pacific,Upper middle income,2001,70.89858537
Trinidad and Tobago,TTO,Latin America & Caribbean,High income,2001,68.64895122
Tunisia,TUN,Middle East & North Africa,Lower middle income,2001,73.50521951
Turkey,TUR,Europe & Central Asia,Upper middle income,2001,70.55580488
Tuvalu,TUV,East Asia & Pacific,Upper middle income,2001,
Uganda,UGA,Sub-Saharan Africa,Low income,2001,47.40414634
Ukraine,UKR,Europe & Central Asia,Lower middle income,2001,68.28707317
United States,USA,North America,High income,2001,76.83658537
Uzbekistan,UZB,Europe & Central Asia,Lower middle income,2001,67.02926829
"Venezuela, RB",VEN,Latin America & Caribbean,Upper middle income,2001,72.57560976
Vietnam,VNM,East Asia & Pacific,Lower middle income,2001,73.36958537
Vanuatu,VUT,East Asia & Pacific,Lower middle income,2001,67.93470732
Samoa,WSM,East Asia & Pacific,Upper middle income,2001,69.81660976
"Yemen, Rep.",YEM,Middle East & North Africa,Lower middle income,2001,60.67668293
South Africa,ZAF,Sub-Saharan Africa,Upper middle income,2001,54.57080488
Zambia,ZMB,Sub-Saharan Africa,Lower middle income,2001,44.27248781
Zimbabwe,ZWE,Sub-Saharan Africa,Low income,2001,40.99680488
Afghanistan,AFG,South Asia,Low income,2002,55.85719512
Angola,AGO,Sub-Saharan Africa,Lower middle income,2002,46.71173171
Albania,ALB,Europe & Central Asia,Upper middle income,2002,75.15460976
United Arab Emirates,ARE,Middle East & North Africa,High income,2002,74.96826829
Argentina,ARG,Latin America & Caribbean,Upper middle income,2002,74.15578049
Armenia,ARM,Europe & Central Asia,Lower middle income,2002,72.20160976
Antigua and Barbuda,ATG,Latin America & Caribbean,High income,2002,73.81543902
Australia,AUS,East Asia & Pacific,High income,2002,79.93658537
Austria,AUT,Europe & Central Asia,High income,2002,78.67804878
Azerbaijan,AZE,Europe & Central Asia,Upper middle income,2002,67.56107317
Burundi,BDI,Sub-Saharan Africa,Low income,2002,51.92826829
Belgium,BEL,Europe & Central Asia,High income,2002,78.07560976
Benin,BEN,Sub-Saharan Africa,Low income,2002,55.81431707
Burkina Faso,BFA,Sub-Saharan Africa,Low income,2002,51.34019512
Bangladesh,BGD,South Asia,Lower middle income,2002,66.47817073
Bulgaria,BGR,Europe & Central Asia,Upper middle income,2002,71.86585366
Bahrain,BHR,Middle East & North Africa,High income,2002,74.95407317
"Bahamas, The",BHS,Latin America & Caribbean,High income,2002,72.84126829
Bosnia and Herzegovina,BIH,Europe & Central Asia,Upper middle income,2002,74.67558537
Belarus,BLR,Europe & Central Asia,Upper middle income,2002,68.05609756
Belize,BLZ,Latin America & Caribbean,Upper middle income,2002,68.54436585
Bolivia,BOL,Latin America & Caribbean,Lower middle income,2002,61.82882927
Brazil,BRA,Latin America & Caribbean,Upper middle income,2002,70.8452439
Barbados,BRB,Latin America & Caribbean,High income,2002,73.54631707
Brunei Darussalam,BRN,East Asia & Pacific,High income,2002,75.66768293
Bhutan,BTN,South Asia,Lower middle income,2002,62.43582927
Botswana,BWA,Sub-Saharan Africa,Upper middle income,2002,49.24341463
Central African Republic,CAF,Sub-Saharan Africa,Low income,2002,44.25341463
Canada,CAN,North America,High income,2002,79.5902439
Switzerland,CHE,Europe & Central Asia,High income,2002,80.38536585
Chile,CHL,Latin America & Caribbean,High income,2002,77.56958537
China,CHN,East Asia & Pacific,Upper middle income,2002,72.61487805
Cameroon,CMR,Sub-Saharan Africa,Lower middle income,2002,51.65526829
"Congo, Dem. Rep.",COD,Sub-Saharan Africa,Low income,2002,51.34680488
"Congo, Rep.",COG,Sub-Saharan Africa,Lower middle income,2002,51.17929268
Colombia,COL,Latin America & Caribbean,Upper middle income,2002,71.52173171
Comoros,COM,Sub-Saharan Africa,Low income,2002,59.59892683
Cabo Verde,CPV,Sub-Saharan Africa,Lower middle income,2002,70.44814634
Costa Rica,CRI,Latin America & Caribbean,Upper middle income,2002,77.70946342
Cuba,CUB,Latin America & Caribbean,Upper middle income,2002,77.10246342
Cyprus,CYP,Europe & Central Asia,High income,2002,78.22395122
Czech Republic,CZE,Europe & Central Asia,High income,2002,75.22195122
Germany,DEU,Europe & Central Asia,High income,2002,78.22926829
Djibouti,DJI,Middle East & North Africa,Lower middle income,2002,57.22056098
Dominica,DMA,Latin America & Caribbean,Upper middle income,2002,76.59756098
